term,fire_na,f_value,.lower,.upper,.width,.point,.interval
vpd,SNOW,0.03028100000000003,-0.8362931,0.9091983499999997,0.9,median,qi
vpd,STAGECOACH,0.10464700000000002,-0.6949747,0.8067555999999982,0.9,median,qi
vpd,VALLEY,0.27507175,-0.271493625,0.8119640999999999,0.9,median,qi
vpd,W-5 COLD SPRINGS,0.62564465,0.10844459999999996,1.1640856499999999,0.9,median,qi
vpd,WALLBRIDGE,0.6991715,0.2328677499999999,1.1564044999999998,0.9,median,qi
vpd,ZOGG,0.06125699999999998,-0.40548925,0.4873373,0.9,median,qi
windspd,APPLE,-0.241039,-1.110079,0.5243590799999999,0.9,median,qi
windspd,AUGUST COMPLEX FIRES,0.294042,0.22861145000000002,0.35878169,0.9,median,qi
windspd,BLUE RIDGE,-0.011739499999999986,-0.5436484500000001,0.507714151,0.9,median,qi
windspd,BLUEJAY,0.5553580499999999,-0.21544010000000008,1.3974030999999998,0.9,median,qi
windspd,BOBCAT,0.48261770000000004,0.23397554,0.7549019999999999,0.9,median,qi
windspd,CALDWELL,0.12298950000000004,-0.29350225,0.5460257645000001,0.9,median,qi
windspd,CARMEL,0.771618,-0.04379110000000002,1.7393591999999998,0.9,median,qi
windspd,CASTLE,0.33537,0.1937504,0.48774954000000004,0.9,median,qi
windspd,CREEK,0.07479949999999996,-0.030492649999999996,0.17507924999999994,0.9,median,qi
windspd,CZU LIGHTNING COMPLEX,2.2282785,1.47876855,3.082109949999999,0.9,median,qi
windspd,DEVIL,0.532289,-0.15348295000000003,1.2347394499999989,0.9,median,qi
windspd,DOLAN,0.34364985000000003,0.14787241,0.5439509499999999,0.9,median,qi
windspd,GLASS,0.19157800000000003,-0.16907580000000008,0.5336569969999999,0.9,median,qi
windspd,GOLD,0.32066100000000003,-0.39398165,0.9431520499999991,0.9,median,qi
windspd,HENNESSEY,0.35041275000000005,0.15667890499999995,0.5456808599999999,0.9,median,qi
windspd,HOG,0.39955000000000007,-0.37651614999999994,1.1362073999999998,0.9,median,qi
windspd,LAKE,0.33986954999999996,-0.257357,0.94992775,0.9,median,qi
windspd,LOYALTON,-0.15718900000000002,-0.8531904,0.43897161499999976,0.9,median,qi
windspd,MINERAL,0.7096750000000001,0.11305864999999986,1.3501879999999997,0.9,median,qi
windspd,NORTH,0.27024495000000004,-0.55271725,1.1022062999999995,0.9,median,qi
windspd,NORTH COMPLEX,0.9284650000000001,0.80642615,1.05584925,0.9,median,qi
windspd,RATTLESNAKE,0.3647106,-0.20200281,0.9591449999999995,0.9,median,qi
windspd,RED SALMON COMPLEX,0.2966069,0.14784984999999998,0.45592012499999995,0.9,median,qi
windspd,RIVER,6.630000000000247e-4,-0.5382409,0.5252228999999998,0.9,median,qi
windspd,SCU COMPLEX,0.12300250000000001,-0.1683358000000001,0.40048013999999993,0.9,median,qi
windspd,SHEEP,0.87338,0.25651082999999997,1.5717415000000001,0.9,median,qi
windspd,SILVERADO,0.12764580000000003,-0.5112764000000001,0.7427108499999999,0.9,median,qi
windspd,SLATER,0.8858440000000001,0.6934463000000001,1.0969387499999999,0.9,median,qi
windspd,SLINK,0.004473000000000005,-0.5360878499999999,0.5560965999999996,0.9,median,qi
windspd,SNOW,0.2983536,-0.7149960000000001,1.3384532999999996,0.9,median,qi
windspd,STAGECOACH,0.2635238,-0.6593461000000002,1.2029362999999995,0.9,median,qi
windspd,VALLEY,-0.0721685,-0.92773355,0.6583677499999994,0.9,median,qi
windspd,W-5 COLD SPRINGS,0.2364485,-0.28873360000000003,0.7654003999999996,0.9,median,qi
windspd,WALLBRIDGE,0.278131,-0.33864605,0.89641275,0.9,median,qi
windspd,ZOGG,0.6114011500000001,0.18007239999999997,1.1331497604999998,0.9,median,qi
